"species_code","score","start_offset_sec","end_offset_sec"
"daejun",0.9913367,31,34
"yerwar",0.8822899,47,50
"btnwar",0.99327105,58,61
"veery",0.99943346,64,67
"norfli",0.93227696,100,103
"buhvir",0.83219564,101,104
"chispa",0.53438294,136,139
"gockin",0.77964216,152,155
"amerob",0.7622383,200,203
"magwar",0.7873419,213,216
"scatan",0.7785425,241,244
"swathr",0.7694551,246,249
"chswar",0.90695703,301,304
"eastow",0.99587697,346,349
